Restrição de Atendimento,Escola,Categoria Administrativa,Endereço,Telefone,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude,Bairro
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE MUNDO DA CRIANCA,Privada,"VEREADOR LOURIVAL MOREIRA DO AMARAL, 604 PARQUE SAO VICENTE. 11365-100 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.9577278,-46.3943482,PARQUE SAO VICENTE
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO NASCIMENTO EDUCACAO,Privada,"COSTA REGO, 50 VILA SAO JORGE. 11380-140 São Vicente - SP.",(13) 35615642,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-23.9546209,-46.3739948,VILA SAO JORGE
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CANTINHO DO ZEZINHO CRECHE COMUNITARIA,Privada,"SACADURA CABRAL, 399 VILA JOCKEI CLUBE. 11365-080 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.94777155,-46.3921991,VILA JOQUEI CLUBE
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO VISAO,Privada,"RUA TENENTE DURVAL DO AMARAL, 245 CATIAPOA. 11390-300 São Vicente - SP.",(13) 33954800,Até 50 matrículas de escolarização,Ensino Fundamental,-23.96062202,-46.39045697,CATIAPOA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE SANDRA ANTONELI,Pública Municipal,"ELISANGELA SANTOS MENDES, SN SAMARITA. 11345-585 São Vicente - SP.",,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-23.98871445,-46.46972985,SAMARITA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SAPINHO SAPECA,Privada,"CUIABA, 196 VILA NOSSA SENHORA DE FATIMA. 11355-250 São Vicente - SP.",,Até 50 matrículas de escolarização,Educação Infantil,-23.95497687,-46.40395354,VILA NOSSA SENHORA DE FATIMA
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA FORTEC UNIDADE VI,Privada,"FREI GASPAR, 2078 PARQUE SAO VICENTE. 11340-000 São Vicente - SP.",(13) 34661868,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-23.9637606,-46.39012,PARQUE SAO VICENTE
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO GENESIS MASTER SAO VICENTE,Privada,"EDUARDO CACAO, 1448 JARDIM RIO BRANCO. 11347-150 São Vicente - SP.",(13) 35765513,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,-23.98412012,-46.46890085,JARDIM RIO BRANCO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ECTTA,Privada,"SANTA CRUZ, 110 CENTRO. 11310-290 São Vicente - SP.",(13) 996884427,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-23.9660133,-46.3871781,CENTRO
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO DO ROCIO,Privada,"CAPITAOMOR AGUIAR, 898 CENTRO. 11310-200 São Vicente - SP.",(13) 34669491,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-23.9678002,-46.3917292,CENTRO
