Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO RECREATIVO INFANTIL JARDIM OLIVEIRA,35578873,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"JEQUIE, 1888 RUA. JARDIM RIO NEGRO. 11347-400 São Vicente - SP.",(13) 35668057,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE ESCOLA DE EDUCACAO INFANTIL PALAVRA CANTADA,35579063,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"DO PARQUE, 487 TRAVESSA. CATIAPOA. 11365-330 São Vicente - SP.",(13) 34680752,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-23.96094489,-46.38990177
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PENITENCIARIA II DE SAO VICENTE,35581689,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"PADRE MANOEL DA NOBREGA, SN KM 282. PARQUE CONTINENTAL. 11348-910 São Vicente - SP.",(13) 34061221,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação de Jovens Adultos,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA FORTEC,35583716,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"BENEDITO CALIXTO, 160 170. CENTRO. 11320-070 São Vicente - SP.",(13) 35692525,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9676152,-46.3759908
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BERCARIO E EDUCACAO INFANTIL ROSA DE SAROM,35586249,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"SANTA CRUZ, 78 RUA. CENTRO. 11310-290 São Vicente - SP.",(13) 34667838,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.96799261,-46.39032997
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CAMINHO DO SABER,35587928,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"ALAMEDA DOIS, 817 PARQUE CONTINENTAL. 11348-300 São Vicente - SP.",(13) 35642136,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.95435693,-46.46098349
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO GENESIS SAO VICENTE,35587953,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"JULIA DE ALMEIDA PIRES PROFESSORA, 530 RUA. JARDIM RIO BRANCO. 11347-090 São Vicente - SP.",(13) 33666688,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.97897339,-46.47873247
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CAMBARA ESCOLA,35805312,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DO COLEGIO, 161 CENTRO. 11310-210 São Vicente - SP.",(13) 34669376,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-23.9641083,-46.3791773
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALBINO LUIZ CALDAS PROFESSOR,35901404,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"IRMA MARIA RITA DE SOUZA BRITO LOPES IRMA DULCE, SN RUA. HUMAITA. 11349-330 São Vicente - SP.",(13) 34061163,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.9604032,-46.4699338
ESCOLA PARALISADA,ERCILIA NOGUEIRA COBRA,35901428,SP,São Vicente,Urbana,Não Informado,Pública,"VALE DO PO, 400 VL MARGARIDA. 11330-670 São Vicente - SP.",(13) 34649952,Estadual,Não Informado,Não,,,,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PAULO DE ARRUDA PENTEADO PROFESSOR,35905012,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE SINGER DOUTOR, SN AVENIDA. CONJUNTO RESIDENCIAL HUMAITA. 11349-000 São Vicente - SP.",(13) 34062214,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.9497284,-46.460612
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOSE DE ALMEIDA PINHEIRO JUNIOR PROFESSOR,35909865,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR JOSE BENEDITO ALMEIDA RIBEIRO, SN RUA. PARQUE DAS BANDEIRAS. 11346-030 São Vicente - SP.",(13) 35662718,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-23.9847933,-46.4901917
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAQUIM LOPES LEAO PASTOR,35909877,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"ALEXANDRE SENDIM, 150 RUA. PARQUE BITARU. 11330-420 São Vicente - SP.",(13) 34697675,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-23.9743525,-46.3986125
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,OSWALDO DOS SANTOS SOARES PROFESSOR DOUTOR,35909889,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"NOVE DE JULHO, 465 AVENIDA. VILA CASCATINHA. 11370-020 São Vicente - SP.",(13) 35612151,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-23.9568712,-46.3803114
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALBERTO AUGUSTO PASTOR,35909907,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DEZESSETE, SN RUA. CIDADE NAUTICA. 11350-540 São Vicente - SP.",(13) 34643337,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.940446,-46.4177519
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIO COVAS JUNIOR GOVERNADOR,35923485,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR ARCHIMEDES BAVA, SN RUA. PARQUE DAS BANDEIRAS. 11346-190 São Vicente - SP.",(13) 35768089,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.9820495,-46.4947367
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR,CEL JTO A EE MARTIM AFONSO,35985247,SP,São Vicente,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE BONIFACIO, 102 RUA. CENTRO. 11310-080 São Vicente - SP.",(13) 34681625,Estadual,Não Informado,Não,Sim,Escola sem matrícula de escolarização,,Atividade Complementar,-23.969276,-46.38343
