NOME,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,DS_TURNO_ATENDIMENTO,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_AMBULATORIAL_SUS
BIOMEGA MEDICINA DIAGNOSTICA SAO VICENTE,11310060,FREI GASPAR,147,GONZAGUINHA,11 41345544,-239682493697.0,-463809889555.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
IMUVI INSTITUTO DE MEDICINA HUMANAE VITAE SV,11320040,DOUTOR AMERICO BRASILIENSE,307,GONZAGUINHA,11 35316666,-239655729328.0,-463793367147.0,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",0.0,0.0,0.0,0.0,1.0,0.0,NAO
ESF HUMAITA SAO VICENTE,11349370,RUA ALFREDO NEVES,319,HUMAITA,1334062870,-239502162049.0,-464600137152.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,SIM
CAD CENTRO APOIO E DIAGNOSTICO SAO VICENTE,11349000,RUA JOSE SINGER,S/N,HUMAITA,(13)34061142,-23948823.0,-46461355.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,,,0.0,0.0,SIM
PRONTO ATENDIMENTO HUMAITA SAO VICENTE,11349000,RUA JOSE SINGER,S/N,HUMAITA,(13)35658700,-23949644.0,-46459475.0,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",0.0,0.0,0.0,0.0,1.0,0.0,SIM
GLAUCIRA PECE VENTURA SAO VICENTE,11349000,DR JOSE SINGER,387,HUMAITA,(13)35642269,-23.9489767,-46.4613292,ATENDIMENTO SOMENTE A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
ACADEMIA DA SAUDE HUMAITA,11349190,PRACA SEBASTIAO AUGUSTO DA SILVA,S/N,HUMAITA,35695714,-23952639.0,-46454035.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,,,,,1.0,0.0,NAO
RONNY TRAVASSOS AZURZA,11320230,R JOAO JOSE FLORINDO DA SILVA,27,ITARARE,,-23967373.0,-4638449.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,0.0,0.0,NAO
I U G C SAO VICENTE,11320001,AV PRESIDENTE WILSON,1033,ITARARE,(13)34676566,-239673041334.0,-463785933187.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
CLINICA DE OLHOS CARVALHO SAO VICENTE,11320001,AVENIDA PRESIDENTE WILSON,1473,ITARARE,(13)34671224,-239653201472.0,-463821879322.0,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,0.0,0.0,0.0,0.0,1.0,0.0,NAO
